provider_name,eik,municipality,settlement,address,social_service,target_group,license_number,license_validity,license_modified_number,license_modified_validity,license_renewed_number,license_renewed_validity,violations
"СДРУЖЕНИЕ ""ПРЕГЪРНИ МЕ""",175797415,Столична,гр. София,"район Триадица, ул. ""Княз Борис I"" № 48, ап. 10",Информиране и консултиране; Застъпничество и посредничество; Общностна работа; Терапия и рехабилитация; Обучение за придобиване на умения,Деца в риск по смисъла на Закона за закрила на детето; деца и пълнолетни лица с увреждания; пълнолетни лица в кризисна ситуация или с потребност за преодоляване на последици от такава ситуация; техните семейства и близки,Л-3129-1207/27.05.2022 г.; Л-3129-1208/27.05.2022 г.; Л-3129-1209/27.05.2022 г.; Л-3129-1210/27.05.2022 г.; Л-3129-1211/27.05.2022 г.,26.05.2027 г.,,,,,
"""БОРНЕА"" ЕООД",206843073,Велико Търново,гр. Велико Търново,"ул. ""Димитър Буйнозов"" №2",Резидентна грижа,Възрастни хора в надтрудоспособна възраст,Л-3129-1213/27.05.2022 г.,26.05.2027 г.,,,,,
"""МЕДИКОМ СОЦИАЛ ПЛЮС"" ЕООД",200824647,Столична,гр. София,"р-н Красно село, ул. ""Дойран"" № 19, ет. 4, ап. 10",Асистентска подкрепа,"Лица в надтрудоспособна възраст в невъзможност за самообслужване, които нямат определена по съответния ред степен на намалена работоспособност",Л-3129-1214/30.05.2022 г.,29.05.2027 г.,,,,,
"""ПЪРВОМАЙ-БТ"" АД",825206813,Първомай,гр. Първомай,"ул. ""Омуртаг"" №1",Резидентна грижа,Възрастни хора в надтрудоспособна възраст,Л-3129-1224/06.06.2022 г.,05.06.2027 г.,,,,,
"""РЕЗИДЕНЦИЯ СВЕТИ СИМЕОН"" ЕООД",206824895,Столична,с. Волуяк,"ж.к. ""Толева Махала"", бул. ""Европа"" № 251",Резидентна грижа,Възрастни хора в надтрудоспособна възраст,Л-3129-1229/16.06.2022 г.; Л-3129-1997/14.10.2024 г.,15.06.2027 г.,ЛПО-1-3129-1229/10.10.2024 г.,15.06.2027 г.,,,
"АГЕНЦИЯ ЗА СОЦИАЛНИ УСЛУГИ ""У ДОМА"" ЕООД",206898041,Русе,гр. Русе,"ул. ""Пирот"" № 13, ет. 3, офис 6",Асистентска подкрепа,"Лица в надтрудоспособна възраст в невъзможност за самообслужване, които нямат определена по съответния ред степен на намалена работоспособност",Л-3129-1230/21.06.2022 г.,20.06.2027 г.,,,,,
"""ГАЛИНЕЛ-РГ"" ЕООД",200157904,Гоце Делчев,гр. Гоце Делчев,"ул. ""Арда"" № 6 А",Терапия и рехабилитация; Обучение за придобиване на умения; Информиране и консултиране,"Всички деца; деца в риск по смисъла на Закона за закрила на детето; родители, осиновители, лица, полагащи грижа за деца, кандидати за осиновители и кандидати за приемни семейства; деца и пълнолетни лица с увреждания; пълнолетни лица в кризисна ситуация или с потребност за преодоляване на последици от такава ситуация; възрастни хора в надтрудоспособна възраст; техните семейства и близки",Л-3129-1231/27.06.2022 г.; Л-3129-1232/27.06.2022 г.; Л-3129-1233/27.06.2022 г.,26.06.2027 г.,,,,,
"""ВЕДА СЪРВИСИС"" ЕООД",201200899,Куклен,с. Гълъбово,"ул. ""Войнишка слава"" № 40",Резидентна грижа,Възрастни хора в надтрудоспособна възраст,Л-3129-1234/30.06.2022 г.,29.06.2027 г.,,,,,
"""ДОМ ЗА ВЪЗРАСТНИ ХОРА И ХОРА С ПСИХИЧНО РАЗСТРОЙСТВО- ДОМ ДОБРО ЗДРАВЕ"" ЕООД",206961659,Столична,гр. Нови Искър,"ж.к. ""Изгрев"", ул. ""Христо Ботев"" № 109А",Резидентна грижа,Пълнолетни лица с психични разстройства,Л-3129-1236/07.07.2022 г.,06.07.2027 г.,,,,,
"СДРУЖЕНИЕ ""ЦЕНТЪР ЗА ПСИХОЛОГИЧЕСКИ ИЗСЛЕДВАНИЯ""",121858448,Столична,гр. София,"район ""Средец"", ул. ""Г.С. Раковски"" № 112, ет. 1",Терапия и рехабилитация; Информиране и консултиране; Обучение за придобиване на умения; Общностна работа; Застъпничество и посредничество; Подкрепа за придобиване на трудови умения,Пълнолетни лица с увреждания; техните семейства и близки,Л-3129-1246/12.07.2022 г.; Л-3129-1247/12.07.2022 г.; Л-3129-1248/12.07.2022 г.; Л-3129-1348/21.12.2022 г.; Л-3129-1349/21.12.2022 г.; Л-3129-1350/21.12.2022 г.,11.07.2027 г.,,,,,
"СДРУЖЕНИЕ ""СПОРТЕН КЛУБ КА СПОРТ""",175286100,Столична,гр. София,"р-н Оборище, кв. Подуяне, ул. ""Франсис Де Пресансе"" № 3, ет. 4, ап. 12",Информиране и консултиране; Застъпничество и посредничество; Терапия и рехабилитация; Обучение за придобиване на умения; Резидентна грижа,"Всички деца; деца в риск по смисъла на Закона за закрила на детето, а ако учат - до завършване на средно образование, но не повече от 20-годишна възраст, употребяващи психоактивни вещества; техните семейства и близки",Л-3129-1256/20.07.2022 г.; Л-3129-1257/20.07.2022 г.; Л-3129-1258/20.07.2022 г.; Л-3129-1259/20.07.2022 г.; Л-3129-1260/20.07.2022 г.,19.07.2027 г.,ЛПО-1-3129-1256/20.06.2025 г.,19.07.2027 г.,,,
"""РЕНТАЛ-К"" ЕООД",204372153,Варна,гр. Варна,"р-н Приморски, ул. ""Д-р Николай Коларов"" № 3",Асистентска подкрепа,"Лица в надтрудоспособна възраст в невъзможност за самообслужване, които нямат определена по съответния ред степен на намалена работоспособност",Л-3129-1261/20.07.2022 г.,19.07.2027 г.,ЛПО-1-3129-1261/04.07.2025 г.,19.07.2027 г.,,,
"""ДАР БОЖИ 2022"" ЕООД",206898842,Столична,гр. Банкя,"ул. ""Слънчев бряг"" № 2А",Резидентна грижа,Възрастни хора в надтрудоспособна възраст,Л-3129-1262/21.07.2022 г.,20.07.2027 г.,,,,,
"ФОНДАЦИЯ ""ОКОЛНА СРЕДА, ЗДРАВЕ, ОБЩЕСТВО, НАУКА""",119107533,Сливен,гр. Сливен,"ул. ""Иларион Драгостинов"" № 8",Дневна грижа; Терапия и рехабилитация; Подкрепа за придобиване на трудови умения; Обучение за придобиване на умения; Общностна работа; Застъпничество и посредничество; Информиране и консултиране; Резидентна грижа,Деца с трайни увреждания; пълнолетни лица с трайни увреждания,Л-3129-1263/25.07.2022 г.; Л-3129-1264/25.07.2022 г.; Л-3129-1265/25.07.2022 г.; Л-3129-1266/25.07.2022 г.; Л-3129-1267/25.07.2022 г.; Л-3129-1268/25.07.2022 г.; Л-3129-1269/25.07.2022 г.; Л-3129-1275/09.08.2022 г.; Л-3129-1279/09.08.2022 г.; Л-3129-1280/09.08.2022 г.; Л-3129-1795/11.12.2023 г.,24.07.2027 г.,,,,,
